category,sku,product_name,description,features,specifications,msrp,sale_price,note
Replacement Frames - Aluminum,727,727 7.5' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 727 7.5' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 7.5' | Finishes: Antique Bronze, Antique Pewter, Black, Deluxe Champagne, Latte, Rib Champagne, Silver, White",450,338,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,737,737 9' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 737 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 9' | Finishes: Antique Bronze, Antique Pewter, Black, Deluxe Champagne, Latte, Rib Champagne, Silver, White",500,375,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,738,738 9' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 738 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finishes: Bronze Metallic,560,420,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,779,779 8x11' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 779 8x11' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 8x11' | Finishes: Antique Bronze, Black",700,525,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,789,789 11' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 789 11' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 11' | Finishes: Antique Bronze, Black",730,548,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,799,799 10x10' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 799 10x10' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 10x10' | Finishes: Antique Bronze, Black",730,548,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,636,636 9' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 636 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finishes: Bronze Metallic,360,270,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,736,736 9' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 736 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 9' | Finishes: Black, Charcoal, Bronze Metallic, White",400,300,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,936,936 9' Replacement Frame - Aluminum (LED),Replacement aluminum frame for Galtech 936 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 9' | Finishes: Antique Bronze, Black",640,480,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,986,986 11' Replacement Frame - Aluminum (LED),Replacement aluminum frame for Galtech 986 11' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 11' | Finishes: Antique Bronze, Black",790,593,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,762,762 6x6' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 762 6x6' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 6x6' | Finishes: Antique Bronze, Silver",570,428,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,722,722 7.5' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 722 7.5' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 7.5' | Finishes: Antique Bronze, Black, Silver",635,477,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,732,732 9' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 732 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 9' | Finishes: Antique Bronze, Black, Silver",690,518,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,781,781 11' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 781 11' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 11' | Finishes: Silver,760,570,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,782,782 8x8' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 782 8x8' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 8x8' | Finishes: Silver,690,518,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,792,792 10x10' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 792 10x10' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 10x10' | Finishes: Silver,760,570,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,791,791 13' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 791 13' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 13',880,660,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,715AB,715AB 6' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 715AB 6' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 6' | Finishes: Antique Bronze,400,300,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,725,725 7.5' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 725 7.5' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 7.5' | Finishes: Antique Bronze, Black, White",430,323,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,735,735 9' Replacement Frame - Aluminum,Replacement aluminum frame for Galtech 735 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 9' | Finishes: Antique Bronze, Black, White",480,360,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,772,772 3.5x7' Replacement Frame - Aluminum (Half Wall),Replacement aluminum frame for Galtech 772 3.5x7' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 3.5x7' | Finishes: Antique Bronze,450,338,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,887-frame,887 11' Cantilever Replacement Frame Only - Aluminum,Replacement aluminum frame for Galtech 887 11' Cantilever umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 11' | Finishes: Antique Bronze, Black | Frame only, no base or cover",2200,1650,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,899-frame,899 13' Cantilever Replacement Frame Only - Aluminum,Replacement aluminum frame for Galtech 899 13' Cantilever umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 13' | Finishes: Antique Bronze, Black | Frame only, no base or cover",3100,2325,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,897-frame,897 10x10' Cantilever Replacement Frame Only - Aluminum,Replacement aluminum frame for Galtech 897 10x10' Cantilever umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Size: 10x10' | Finishes: Antique Bronze, Black | Frame only, no base or cover",2200,1650,"Frame only, fabric cover is NOT included"
Replacement Frames - Aluminum,887-897-899-base,887/897/899 Cantilever Replacement Base,Replacement aluminum frame for Galtech 887/897/899 Cantilever umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,"Finishes: Antique Bronze, Black | Base only",1050,788,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,121-wood,121 7.5' Replacement Frame - Light Wood,Replacement wood frame for Galtech 121 7.5' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 7.5' | Finish: Light Wood,340,255,"Frame only, fabric cover is NOT included"
