Collection,Category,Material,Product Name,Product SKU(s),Seating Type,Height,Width,Depth,Length,Seat Height,Arm Height,Weight,Description,Product Image URL,Product URL
Allure,Seating,Aluminum,Armless Dining Chair,11350,,"32.5""","20""","21""",,"18""",,10,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2038/images/11350.jpg,https://www.homecrest.com/Seating/allure/armless-dining-chair
Allure,Seating,Aluminum,Armless Dining Chair (Stackable),12350; 12350-2,,"32.5""","21.5""","21""",,"18""",,0,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2039/images/12350.jpg,https://www.homecrest.com/Seating/allure/armless-dining-chair-stackable
Allure,Seating,Aluminum,Dining Chair,11370,,"32.5""","22.5""","21""",,"18""","24.5""",10,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2040/images/11370.jpg,https://www.homecrest.com/Seating/allure/dining-chair
Allure,Seating,Aluminum,Dining Chair (Stackable),12370; 12370-2,,"32.5""","24.5""","21""",,"18""","24.5""",12,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2041/images/12370.jpg,https://www.homecrest.com/Seating/allure/dining-chair-stackable
Allure,Seating,Aluminum,Chat Chair,11380,,"31""","28""","24.5""",,"16.5""","21.5""",14,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2042/images/11380.jpg,https://www.homecrest.com/Seating/allure/chat-chair
Allure,Seating,Aluminum,Armless Balcony Stool,11550,,"38.5""","20""","21""",,"24""",,12,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2043/images/11550.jpg,https://www.homecrest.com/Seating/allure/armless-balcony-stool
Allure,Seating,Aluminum,Balcony Stool,11580,,"38.5""","24.5""","21""",,"24""","30.5""",0,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2044/images/11580.jpg,https://www.homecrest.com/Seating/allure/balcony-stool
Allure,Seating,Aluminum,Armless Bar Stool,11450,,"43.5""","20""","21""",,"29""",,0,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2045/images/11450.jpg,https://www.homecrest.com/Seating/allure/armless-bar-stool
Allure,Seating,Aluminum,Bar Stool,11480,,"43.5""","24.5""","21""",,"29""","35.5""",0,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2046/images/11480.jpg,https://www.homecrest.com/Seating/allure/bar-stool
Allure,Seating,Aluminum,Sofa,11430,,"31""","78""","24.5""",,"16.5""","21.5""",34,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2047/images/11430.jpg,https://www.homecrest.com/Seating/allure/sofa
