manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
Homecrest,homecrest,3947,10180,High Back Dining Chair,high-back-dining-chair-blair-homecrest,"High Back Dining Chair — Homecrest Blair collection.

<p>Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.</p>",High Back Dining Chair — Homecrest Blair collection.,Dining,cat-dining,,,,,,,,,fixed,,,"{""Depth"":""28\"""",""Width"":""26.75\"""",""Height"":""45.5\"""",""Weight"":""0 lbs"",""Material"":""Aluminum"",""Arm Height"":""25\"""",""Seat Height"":""19.5\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:32.871664+00,2026-06-08 21:38:23.48+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-high-back-dining-chair.jpg"",""alt_text"":""High Back Dining Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3949,10301,Armless Adjustable Chaise,armless-adjustable-chaise-blair-homecrest,"Armless Adjustable Chaise — Homecrest Blair collection.

<p>Uniquely transitional and highly functional, Homecrest’s Elements sling collection is an industry favorite. Subtle curves and clean angles combine to create a collection that can be artfully classic or freshly modern, depending on your design sensibilities and your outdoor space. Available in low back, high back, and balcony seating, Elements has the added versatility of complementing a wide range of deep seating styles with ease. Elements comes in low back, high back, balcony options, and more. This, in combination with its adaptable style, makes it highly suitable for homeowners who value versatility, as well as commercial environments such as hotel lounges, rooftop bars, and beyond.</p>",Armless Adjustable Chaise — Homecrest Blair collection.,Chaise Lounges,cat-chaise-lounges,,,,,,,,,fixed,,,"{""Width"":""24\"""",""Height"":""43.5\"""",""Length"":""82.5\"""",""Weight"":""24.6 lbs"",""Material"":""Aluminum"",""Seat Height"":""16\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:33.164271+00,2026-06-08 21:38:23.74+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-armless-adjustable-chaise.jpg"",""alt_text"":""Armless Adjustable Chaise"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3950,10302,Adjustable Chaise,adjustable-chaise-blair-homecrest,"Adjustable Chaise — Homecrest Blair collection.

<p>Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.</p>",Adjustable Chaise — Homecrest Blair collection.,Chaise Lounges,cat-chaise-lounges,,,,,,,,,fixed,,,"{""Width"":""27\"""",""Height"":""43.5\"""",""Length"":""82.5\"""",""Weight"":""24.6 lbs"",""Material"":""Aluminum"",""Arm Height"":""23.25\"""",""Seat Height"":""16\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:33.320111+00,2026-06-08 21:38:23.486+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-adjustable-chaise.jpg"",""alt_text"":""Adjustable Chaise"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3945,10680,Low Back Dining Chair,low-back-dining-chair-blair-homecrest,"Low Back Dining Chair — Homecrest Blair collection.

<p>Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.</p>",Low Back Dining Chair — Homecrest Blair collection.,Dining,cat-dining,,,,,,,,,fixed,,,"{""Depth"":""28\"""",""Width"":""26.75\"""",""Height"":""37\"""",""Weight"":""0 lbs"",""Material"":""Aluminum"",""Arm Height"":""25\"""",""Seat Height"":""19.5\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:32.558795+00,2026-06-08 21:38:23.472+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-low-back-dining-chair.jpg"",""alt_text"":""Low Back Dining Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3946,10880,Low Back Swivel Rocker,low-back-swivel-rocker-blair-homecrest,"Low Back Swivel Rocker — Homecrest Blair collection.

<p>Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.</p>",Low Back Swivel Rocker — Homecrest Blair collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Depth"":""28\"""",""Width"":""26.75\"""",""Height"":""37\"""",""Weight"":""0 lbs"",""Material"":""Aluminum"",""Arm Height"":""25\"""",""Seat Height"":""19.5\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:32.698557+00,2026-06-08 21:38:23.476+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-low-back-swivel-rocker.jpg"",""alt_text"":""Low Back Swivel Rocker"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3948,10980,High Back Swivel Rocker,high-back-swivel-rocker-blair-homecrest,"High Back Swivel Rocker — Homecrest Blair collection.

<p>Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.</p>",High Back Swivel Rocker — Homecrest Blair collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Depth"":""28\"""",""Width"":""26.75\"""",""Height"":""45.5\"""",""Weight"":""0 lbs"",""Material"":""Aluminum"",""Arm Height"":""25\"""",""Seat Height"":""19.5\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:33.012233+00,2026-06-08 21:38:23.482+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-high-back-swivel-rocker.jpg"",""alt_text"":""High Back Swivel Rocker"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3955,10AR392,Chat Chair,chat-chair-blair-air-homecrest,"Chat Chair — Homecrest Blair Air collection.

<p>The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.</p>",Chat Chair — Homecrest Blair Air collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Depth"":""33\"""",""Width"":""34.5\"""",""Height"":""36\"""",""Weight"":""38 lbs"",""Material"":""Aluminum"",""Arm Height"":""23\"""",""Seat Height"":""18\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:34.077729+00,2026-06-08 21:38:23.5+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-air-chat-chair.jpg"",""alt_text"":""Chat Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3957,10AR392L,Left Arm Chat Chair,left-arm-chat-chair-blair-air-homecrest,"Left Arm Chat Chair — Homecrest Blair Air collection.

<p>The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.</p>",Left Arm Chat Chair — Homecrest Blair Air collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Depth"":""33\"""",""Width"":""30.5\"""",""Height"":""36\"""",""Weight"":""35 lbs"",""Material"":""Aluminum"",""Arm Height"":""23\"""",""Seat Height"":""18\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:34.400395+00,2026-06-08 21:38:23.52+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-air-left-arm-chat-chair.jpg"",""alt_text"":""Left Arm Chat Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3958,10AR392R,Right Arm Chat Chair,right-arm-chat-chair-blair-air-homecrest,"Right Arm Chat Chair — Homecrest Blair Air collection.

<p>The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.</p>",Right Arm Chat Chair — Homecrest Blair Air collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Depth"":""33\"""",""Width"":""30.5\"""",""Height"":""36\"""",""Weight"":""35 lbs"",""Material"":""Aluminum"",""Arm Height"":""23\"""",""Seat Height"":""18\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:34.550541+00,2026-06-08 21:38:23.524+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-air-right-arm-chat-chair.jpg"",""alt_text"":""Right Arm Chat Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Homecrest,homecrest,3960,10AR422,Loveseat,loveseat-blair-air-homecrest,"Loveseat — Homecrest Blair Air collection.

<p>The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.</p>",Loveseat — Homecrest Blair Air collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Depth"":""33\"""",""Width"":""60.5\"""",""Height"":""36\"""",""Weight"":""65 lbs"",""Material"":""Aluminum"",""Arm Height"":""23\"""",""Seat Height"":""18\""""}",[],false,true,false,true,false,,0,0,true,2026-06-01 06:36:34.893649+00,2026-06-08 21:38:23.53+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/homecrest/blair-air-loveseat.jpg"",""alt_text"":""Loveseat"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
