category,model_number,product_name,product_url,specs,sku_frame_only,sku_canopy_only,sku_ribs,sku_bottom_pole,sku_bar_height_pole,sku_hub,sku_finial_top,sku_pin_and_chain,sku_crank_handle,finishes_list,finish_count
Aluminum,727,727 7.5' Deluxe Auto Tilt,https://www.galtechcorp.com/727.htm,"Deluxe Auto Tilt | Crank Lift (Steel Cable) | Threaded Coupling | Solid Resin Hubs and Finial | Auto Locking Metal Housing | 8 Ribs | Residential  applications | Ideal  shade coverage: up to 42"" tables | Auto locking mechanism permits tilt to be used at any desired angle | 2 year warranty against mechanical defects | Pole Diameter 1.5""",727xx00,75-XX,P-RIB727XX,BP-727XX,BH-727XX,P-HUB727XX,P-FINIAL727XX,,P-CRANKHANDLE,Antique Bronze | Antique Pewter | Black | Deluxe Champagne | Latte | Rib Champagne | Silver | White,8
Aluminum,737,737 9' Deluxe Auto Tilt,https://www.galtechcorp.com/737.htm,"Deluxe Auto Tilt | Crank Lift (Steel Cable) | Threaded Coupling | Solid Resin Hubs and Finial | Auto Locking Metal Housing | 8 Ribs | Residential  applications | Ideal  shade coverage: up to 54"" tables | Auto locking mechanism permits tilt to be used at any desired angle | 2 year warranty against mechanical defects | Pole Diameter 1.5""",737XX00,90-XX,P-RIB737XX,BP-737XX,BH-737XX,P-HUB737XX,P-FINIAL737XX,,P-CRANKHANDLE,Antique Bronze | Antique Pewter | Black | Deluxe Champagne | Latte | Rib Champagne | Silver | White,8
Aluminum,779,779 8' x 11' Deluxe Auto Tilt Oval,https://www.galtechcorp.com/779.htm,"Deluxe Auto Tilt | Crank Lift (Steel Cable) | Threaded Coupling | Solid Resin Hubs and Finial | Powder Coated Metal Housing | 8 Ribs | Residential  applications | Ideal  shade coverage: up to 72"" tables | Auto locking mechanism permits tilt to be used at any desired angle | 2 year warranty against mechanical defects | Pole Diameter 1.5""",779XX00,80-XX,,BP-779XX,BH-779XX,P-HUB779XX,P-FINIAL779XX,,P-CRANKHANDLE,Antique Bronze | Black,2
Aluminum,789,789 11' Deluxe Auto Tilt,https://www.galtechcorp.com/789.htm,"Deluxe Auto Tilt | Crank Lift (Steel Cable) | Threaded Coupling | Solid Resin Hubs and Finial | Powder Coated Metal Housing | 8 Ribs | Residential  applications | Ideal  shade coverage: up to 72"" tables | Auto locking mechanism permits tilt to be used at any desired angle | 2 year warranty against mechanical defects | Pole Diameter 1.5""",789XX00,11-XX,P-RIB789XX,BP-789XX,BH-789XX,P-HUB789XX,P-FINIAL789XX,,P-CRANKHANDLE,Antique Bronze | Black,2
Aluminum,799,799 10' x 10' Deluxe Auto Tilt,https://www.galtechcorp.com/799.htm,"Deluxe Auto Tilt | Crank Lift (Steel Cable) | Threaded Coupling | Solid Resin Hubs and Finial | Powder Coated Metal Housing | 8 Ribs | Residential  applications | Ideal  shade coverage: up to 96"" tables | Auto locking mechanism permits tilt to be used at any desired angle | 2 year warranty against mechanical defects | Pole Diameter 1.5""",799XX00,10-XX,P-RIB799XX,BP799XX,BH799XX,P-HUB799XX,P-FINIAL799XX,,,Antique Bronze | Black,2
Aluminum,636,636 9' Manual Tilt,https://www.galtechcorp.com/636.htm,"Crank Lift ( nylon cord ) | Manual Tilt ( 3 position ) | Solid Resin Hubs and Finial | ABS Plastic Crank Housing | Push Button Coupling | 8 Fiberglass Ribs | Residential applications only | Pole Diameter 1.375""",636MB00,90-MB,P-RIB636MB,BP-636MB,BH-636MB,P-HUB636MB,P-FINIAL636MB,,P-CRANKHANDLE,Bronze,1
Aluminum,736,736 9' Standard Auto Tilt,https://www.galtechcorp.com/736.htm,"Standard Auto Tilt | Crank Lift (Steel Cable) | Push Button Coupling | Solid Resin Hubs and Finial | ABS Plastic Housing | Flexible Fiberglass Ribs | 8 Ribs | Residential  applications | Ideal  shade coverage: up to 54"" tables | Fiberglass ribs bend and flex in windy conditions | 2 year warranty against mechanical defects | Pole Diameter 1.375"" upper, 1.5"" lower",736XX00,90-XX,P-RIB736XX,BP-736XX,BH-736XX,P-HUB736XX,P-FINIAL736XX,,P-CRANKHANDLE,Black | Charcoal | Standard Bronze | White,4
Aluminum,936,936 9' Auto Tilt with LED Lights,https://www.galtechcorp.com/936.htm,"L.E.D. Lighting Package | Low Voltage Power | Auto Tilt | Crank Lift (Steel Cable) | Push Button Coupling | Solid Resin Hubs and Finial | 8 Ribs | Residential applications | Ideal shade coverage: up to 54"" tables | Transformer must be plugged in to GFI outlet to operate lighting function | Amber glow of lights is bug resistant, ideal ambient light | Pole Diameter 1.5"" | New USB cable permits LED Lights to operate with a USB power charger ( not supplied )",936XX00,90-XX,P-RIB936XX,BP-936XX,BH-936XX,P-HUB936XX,P-FINIAL936XX,,,Antique Bronze | Black,2
Aluminum,986,986 11' Auto Tilt with LED Lights,https://www.galtechcorp.com/986.htm,"L.E.D. Lighting Package | Low Voltage Power | Auto Tilt | Crank Lift (Steel Cable) | Push Button Coupling | Solid Resin Hubs and Finial | 8 Ribs | Residential applications | Ideal shade coverage: up to 72"" tables | Transformer must be plugged in to GFI outlet to operate lighting function | Amber glow of lights is bug resistant, ideal ambient light | Pole Diameter 1.5"" | New USB cable permits LED Lights to operate with a USB power charger ( not supplied )",986XX00,11-XX,P-RIB986XX,BP-986XX,BH-986XX,P-HUB986XX,P-FINIAL986XX,,,Antique Bronze | Black,2
Commercial,722,722 7.5' Deluxe Commercial Use,https://www.galtechcorp.com/722.htm,"Manual Lift | Single Pole | Double Thickness Aluminum Walls | Independent Rib Support | Contemporary Silver, Black or Antique Bronze finish | Quick release ribs utilize stainless steel bracket to mount ribs on to the hub | Commercial or Residential applications | Ideal shade coverage: up to 42"" tables | Pole Diameter 1.5""",722XX00,75-XX,P-RIB722XX,,,P-HUB722XX,P-FINIAL722XX,P-PIN722XX,,Antique Bronze | Black | Silver,3
Commercial,762,762 6' x 6' Deluxe Commercial Use Square,https://www.galtechcorp.com/762.htm,"New Flat Profile | Manual Lift | Single Pole | Double Thickness Aluminum Walls | Independent Rib Support | Contemporary Silver or Antique Bronze finish | Quick release ribs utilize stainless steel bracket to mount ribs on to the hub | Commercial or Residential applications | Ideal shade coverage: up to 36"" tables | Pole Diameter 1.5""",762XX00,66-XX,P-RIB762XX,,,P-HUB762XX,P-FINIAL762XX,P-PIN762,,Antique Bronze | Silver,2
Commercial,732,732 9' Deluxe Commercial Use,https://www.galtechcorp.com/732.htm,"New Flat Profile | Manual Lift | Single Pole | Double Thickness Aluminum Walls | Independent Rib Support | Contemporary Silver, Black or Antique Bronze finish | Solid Resin Hubs | Quick release ribs utilize stainless steel bracket to mount ribs on to the hub | Commercial or Residential applications | Ideal shade coverage: up to 54"" tables | Pole Diameter 1.5""",732XX00,90-XX,P-RIB732XX,,,P-HUB732XX,P-FINIAL732XX,P-PIN732,,Antique Bronze | Black | Silver,3
Commercial,781,781 11' Deluxe Commercial Use Flat Profile,https://www.galtechcorp.com/781.htm,"New Flat Profile | Four pulley lift | Threaded coupling | Double Thickness Aluminum Walls | Independent Rib Support | Quick release ribs utilize stainless steel bracket to mount ribs on to the hub | Contemporary Silver Finish | Solid Resin Hubs | Ideal shade coverage: up to 72"" tables | Commercial or Residential applications | Pole Diameter 1.75""",781SR00,11-SR,P-RIB781SR,BP781SR,,P-HUB781SR,P-FINIAL781SR,,,Silver,1
Commercial,782,782 8' x 8' Deluxe Commercial Use Square,https://www.galtechcorp.com/782.htm,"New Flat Profile | Four pulley lift | Threaded coupling (seamless) | 1 1/2"" diameter pole | Independent Rib Support | Contemporary Silver Finish | Quick release ribs utilize stainless steel bracket to mount ribs on to the hub | Ideal shade coverage: up to 84"" tables | Commercial or Residential applications | 2 year commercial warranty | Pole Diameter 1.5""",782SR00,88-SR,P-RIB782SR,BP782SR,,P-HUB782SR,P-FINIAL782SR,,,Silver,1
Commercial,791,791 13' Deluxe Commercial Use,https://www.galtechcorp.com/791.htm,"Flat Profile | All canopies are Double Wind Vent | Four pulley lift | Threaded coupling | Double Thickness Aluminum Walls | Independent Rib Support | Quick release ribs utilize stainless steel bracket to mount ribs on to the hub | Contemporary Silver Finish | Solid Resin Hubs | Free standing model | Commercial or Residential applications | Pole Diameter 1.75""",791SR00,13-xxDV,P-RIB791SR,BP791SR,,P-HUB791SR,P-FINIAL791SR,,,Silver,1
Commercial,792,792 10 x 10' Deluxe Commercial Use,https://www.galtechcorp.com/792.htm,"New Flat Profile | Four Pulley Lift | Threaded Coupling | 1.75"" Diameter Pole | Independent Rib Support | Contemporary Silver Finish | Solid Resin Hubs | Quick release ribs utilize stainless steel bracket to mount ribs on to the hub | Commercial or Residential applications | Note: This umbrella will not fit through a table due to the length of the ribs. | Freestanding only | 2 Year commercial warranty | Pole Diameter 1.75""",792SR00,10-SR,P-RIB792SR,BP792SR,,P-HUB792SR,P-FINIAL792SR,,,Silver,1
Commercial,715,715 6' Commercial Use,https://www.galtechcorp.com/715.htm,"Manual Lift | Seamless Threaded Coupling | Solid Resin Hubs and Finial | Fiberglass Ribs bend and flex in windy conditions | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 36"" tables | Pole Diameter 1.5""",715AB00,60-XX,P-RIB715AB,BP715AB,BH715AB,P-HUB715AB,P-FINIAL715AB,,,Antique Bronze,1
