sku,name,collection,description,short_description,specs,tags,materials
51-LT20MMRD,Round Micro Mesh Iron Side Table,Accent,"Compact, classic, and built for outdoor durability, the 20"" Round Micro Mesh Iron Side Table offers a versatile surface with timeless appeal. Featuring a micro mesh top, it provides a lighter, breathable look while allowing water to pass through with ease. Crafted from sturdy iron, this side table is designed to withstand the elements and pair seamlessly with a wide range of seating styles. Perfect for holding drinks, décor, or everyday essentials, it’s a functional accent that brings both charm and durability to any outdoor space.","Compact, classic, and built for outdoor durability, the 20"" Round Micro Mesh Iron Side Table offers a versatile surface with timeless appeal. Featuring a micro mesh top, it provides a lighter, breathable look while allowing water to pass through with ease. Crafted from sturdy iron, this side table is designed to withstand the elements and pair seamlessly with a wide range of seating styles. Perfect for holding drinks, décor, or everyday essentials, it’s a functional accent that brings both charm and durability to any outdoor space.","{'height_in': '23.25', 'collection': 'Pre-Designed Tables', 'source_url': 'https://www.owlee.com/collections/fully-welded-tables/20-rd-side-table-fully-welded-tables-micro-mesh-iron-tables/', 'weight_lbs': '26 (pkg)', 'depth_length_in': '20', 'width_diameter_in': '20'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']","Aluminum, Wrought Iron"
51-LT20RD,Round Porcelain Tile Iron Side Table,Accent,"Elegant and durable, the 20"" Round Porcelain Tile Iron Side Table adds a refined touch to any outdoor setting. Featuring a porcelain tile top, it offers the beauty of natural stone with exceptional resistance to moisture, stains, heat, and fading. The sturdy iron base provides lasting strength and stability, making this side table well suited for everyday outdoor use. Perfectly sized for drinks, décor, or small essentials, it combines timeless style with dependable performance for patios, lounges, and commercial spaces.","Elegant and durable, the 20"" Round Porcelain Tile Iron Side Table adds a refined touch to any outdoor setting. Featuring a porcelain tile top, it offers the beauty of natural stone with exceptional resistance to moisture, stains, heat, and fading. The sturdy iron base provides lasting strength and stability, making this side table well suited for everyday outdoor use. Perfectly sized for drinks, décor, or small essentials, it combines timeless style with dependable performance for patios, lounges, and commercial spaces.","{'height_in': '24', 'collection': 'Pre-Designed Tables', 'source_url': 'https://www.owlee.com/collections/fully-welded-tables/20-round-porcelain-tile-iron-side-table/', 'weight_lbs': '26 (pkg)', 'depth_length_in': '20', 'width_diameter_in': '20'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']","Aluminum, Wrought Iron"
MA-2020ST,Square Slat Top Side Table,Accent,"Sleek, minimal, and perfectly suited for contemporary outdoor living, this 20"" side table features a durable aluminum top with clean slats, creating a light, airy design. Crafted from powder-coated aluminum, it is lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Its simple modern silhouette complements any outdoor seating arrangement, making it an ideal addition to patios, decks, or commercial spaces. Stylish, functional, and low-maintenance, this side table brings both elegance and practicality to your outdoor spaces.","Sleek, minimal, and perfectly suited for contemporary outdoor living, this 20"" side table features a durable aluminum top with clean slats, creating a light, airy design. Crafted from powder-coated aluminum, it is lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Its simple modern silhouette complements any outdoor seating arrangement, making it an ideal addition to patios, decks, or commercial spaces. Stylish, functional, and low-maintenance, this side table brings both elegance and practicality to your outdoor spaces.","{'height_in': '20.5', 'collection': 'Pre-Designed Tables', 'source_url': 'https://www.owlee.com/collections/fully-welded-tables/20-square-slat-top-side-table/', 'weight_lbs': '22 (pkg)', 'depth_length_in': '20', 'width_diameter_in': '20'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']",Aluminum
5162-42RDC,"Anello 42"" Round Chat Height Fire Pit",Anello,"Introducing the aluminum Anello Fire Pit by O.W. Lee, where clean design meets timeless sophistication. Featuring a sleek cylindrical aluminum base and an artisan-crafted porcelain tile top, Anello delivers a refined, minimalist aesthetic with lightweight durability ideal for outdoor environments. Built in the USA with O.W. Lee’s renowned attention to detail, Anello blends standout aluminum design with everyday performance. Available with manual or electronic ignition, each unit ships propane-ready and can be converted to natural gas with an optional kit. With 10 premium aluminum frame finishes and sixteen porcelain tile options, Anello adds a polished modern touch to any outdoor space.","Introducing the aluminum Anello Fire Pit by O.W. Lee, where clean design meets timeless sophistication. Featuring a sleek cylindrical aluminum base and an artisan-crafted porcelain tile top, Anello delivers a refined, minimalist aesthetic with lightweight durability ideal for outdoor environments. Built in the USA with O.W. Lee’s renowned attention to detail, Anello blends standout aluminum design with everyday performance. Available with manual or electronic ignition, each unit ships propane-ready and can be converted to natural gas with an optional kit. With 10 premium aluminum frame finishes and sixteen porcelain tile options, Anello adds a polished modern touch to any outdoor space.","{'height_in': '24', 'collection': 'Anello', 'source_url': 'https://www.owlee.com/collections/casual-fireside/anello-42-round-chat-height-fire-pit/', 'weight_lbs': '145', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2025/09/Casual-Fireside_Retail_SpecSheets_2026_Anello.pdf', 'depth_length_in': '42', 'width_diameter_in': '42'}","['o-w-lee', 'anello', 'made-in-usa', 'quote-only']",Aluminum
3433-BS,Arc Bar Stool,Arc,"The O.W. Lee Arc Bar Stool brings contemporary elegance to bar-height seating. Its bold yet minimal form captures the essence of modern design while delivering comfortable, refined outdoor seating. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Bar Stool brings contemporary elegance to bar-height seating. Its bold yet minimal form captures the essence of modern design while delivering comfortable, refined outdoor seating. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '46.75', 'collection': 'Arc', 'weight_lbs': '32', 'arm_height_in': '—', 'seat_height_in': '33.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-BS-Bar-Stool.pdf', 'depth_length_in': '27.5', 'width_diameter_in': '20'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34185-C,Arc Center Sectional,Arc,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '40', 'collection': 'Arc', 'weight_lbs': '68', 'arm_height_in': '—', 'seat_height_in': '20', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-C-Center-Sectional.pdf', 'depth_length_in': '38.25', 'width_diameter_in': '39.25'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34185-CR,Arc Corner Sectional,Arc,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '40', 'collection': 'Arc', 'weight_lbs': '89', 'arm_height_in': '—', 'seat_height_in': '20', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-CR-Corner-Sectional.pdf', 'depth_length_in': '38.25', 'width_diameter_in': '62.5'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
3433-CS,Arc Counter Stool,Arc,"Part of the O.W. Lee Arc collection. Crafted in the USA, O.W. Lee pieces are built to order and sold exclusively through our showroom — contact a sales agent for pricing, finishes, and cushion options.",,"{'height_in': '42.75', 'collection': 'Arc', 'weight_lbs': '31', 'arm_height_in': '—', 'seat_height_in': '28.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-CS-Counter-Stool.pdf', 'depth_length_in': '26.75', 'width_diameter_in': '20'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
3433-A,Arc Dining Arm Chair,Arc,"The O.W. Lee Arc Dining Arm Chair blends bold curves with supportive comfort. Its sculpted frame and gently contoured arms reflect the collection’s modern, nautical inspiration, creating an outdoor dining arm chair that feels both sophisticated and inviting. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Dining Arm Chair blends bold curves with supportive comfort. Its sculpted frame and gently contoured arms reflect the collection’s modern, nautical inspiration, creating an outdoor dining arm chair that feels both sophisticated and inviting. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '36.25', 'collection': 'Arc', 'weight_lbs': '30', 'arm_height_in': '24.5', 'seat_height_in': '19.25', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-A-Dining-Arm-Chair.pdf', 'depth_length_in': '28.25', 'width_diameter_in': '24'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
3433-S,Arc Dining Side Chair,Arc,"The O.W. Lee Arc Dining Side Chair showcases a sculptural silhouette inspired by the sleek curves of modern yacht design. Clean lines and a minimalist form create a refined outdoor dining side chair that brings contemporary elegance to any outdoor dining setting. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Dining Side Chair showcases a sculptural silhouette inspired by the sleek curves of modern yacht design. Clean lines and a minimalist form create a refined outdoor dining side chair that brings contemporary elegance to any outdoor dining setting. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '36.25', 'collection': 'Arc', 'weight_lbs': '29', 'arm_height_in': '—', 'seat_height_in': '19.75', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_3433-S-Dining-Side-Chair.pdf', 'depth_length_in': '28.25', 'width_diameter_in': '20'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
