product_id,sku,name,collection,category,sub-category,seat_type,dimensions,short_description,is_active,available_online,quote_only,materials,sub-materials,finish_pool_assigned,finish_options,fabric_pool_assigned,fabric_options
2091.0,34198-CH,Arc Sling Adjustable Chaise Lounge,Arc,Deep Seating,Chaise,,"H 38.5"" × W 30.25"" × D 85.5""","The O.W. Lee Arc Sling Chaise offers streamlined relaxation with a contemporary edge. Featuring a sculpted aluminum frame and supportive sling seating, this outdoor chaise lounge reflects the collection’s nautical inspiration and minimalist design philosophy. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",True,True,True,Aluminum,Sling,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Augustine Alloy, Augustine Ashe, Augustine Denim, Augustine Fennel, Augustine Gravel, Augustine Oasis, Augustine Pewter, Augustine Shadow, Augustine Silver, Burdock Smoke, Collect Indigo, Logan Graphite, Pueblo Dune, Sailing Salt, Sailing Seagull, Site Linen"
2074.0,27179-CH,Aris Adjustable Chaise,Aris,Deep Seating,Chaise,,"H 39"" × W 30"" × D 66.25""","O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty.",True,True,True,Aluminum,,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Abra Denim, Alvarez Indigo, Beckon Hemp, Beckon Shell, Belgian Linen Sand, Big Idea Indigo, Big Idea Steel, Capra Shadow, Chartres Cloud, Chartres Graphite, Chartres Truffle, Chinchilla Aluminum, Chinchilla White, Crete Stone, Envision Teak, Escher Greige, Esti Lagoon, Esti Marine, Esti Onyx, Falcon Sand, Falcon Spa, Falcon White, Flagship Stone, Harris Stone, Hayden Taupe, Juniper Mesa Indigo, Kindle Indigo, Kindle Silk, Kismet Moss, Lacework Stone, Ledger Heron, Ledger Indigo, Liberty Charcoal, Metz Dove, Mojave Twill Elk, Mojave Twill Turquoise, Muscle Beach Grey, Muscle Beach Tweed, Namibia Grey, Optimist Clay, Painterly View, Pashmina Flannel, Piazza Burlap, Piazza Cloud, Piazza Dove, Piazza Indigo, Piazza Mist, Piazza Vapor, Pique Ash, Pique Gravel, Pique Midnight, Posh Ash, Posh Graphite, Posh Oat, Posh Pebble, Posh Sapphire, Posh Shitake, Posh Snow, Precise Fawn, Precise Spring, Pyrenees White, Recess Smoke, Sahara Café, Sahara Denim, Santara Mist, Sterling Alpaca, Stitches Slate, Surpass Stone, Switch Ash, Switch Flax, Switch Silver, Tailored Smoke, Tailored Spa, Trax Burgundy, Trax Sequoia, Vacation Aqua, Vacation Blue, Vacation Mist, Veena Spa, Vista Dune, Vista Indigo, Zara Cinnamon, Zenith Sand"
5182.0,-65198.0,Avana Sling Adjustable Chaise with Wheels,Avana,Deep Seating,Chaise,,,"The O.W. Lee Avana Sling Adjustable Chaise with Wheels offers effortless relaxation with modern versatility, making it a perfect addition to any poolside or patio setting. Its adjustable sling seat lets you find the ideal lounging position, while the durable aluminum frame and integrated wheels make moving and arranging the chaise simple and convenient. This chaise is an excellent choice for customers seeking high-quality outdoor furniture at a more accessible price point without compromising on style or durability. Quality & Customization Crafted with O.W. Lee’s renowned attention to detail, the frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, ensuring lasting comfort and performance. With 10 elegant frame finishes and over 100 fabric options, including 16 durable sling fabrics, the Avana Sling Adjustable Chaise can be customized to perfectly complement any outdoor space. It’s a versatile, stylish, and smartly priced solution for contemporary outdoor lounging.",True,True,True,Aluminum,Sling,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Augustine Alloy, Augustine Ashe, Augustine Denim, Augustine Fennel, Augustine Gravel, Augustine Oasis, Augustine Pewter, Augustine Shadow, Augustine Silver, Burdock Smoke, Collect Indigo, Logan Graphite, Pueblo Dune, Sailing Salt, Sailing Seagull, Site Linen"
2053.0,-952.0,Classico Adjustable Chaise,Classico,Deep Seating,Chaise,,"H 40.25"" × W 28"" × D 68""","The O.W. Lee Classico Chaise Lounge brings traditional European style to poolside and patio relaxation. Its elegant frame and comfortable reclining design create a timeless outdoor chaise lounge ideal for leisurely outdoor living. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",True,True,True,"Aluminum, Wrought Iron",,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Abra Denim, Alvarez Indigo, Beckon Hemp, Beckon Shell, Belgian Linen Sand, Big Idea Indigo, Big Idea Steel, Capra Shadow, Chartres Cloud, Chartres Graphite, Chartres Truffle, Chinchilla Aluminum, Chinchilla White, Crete Stone, Envision Teak, Escher Greige, Esti Lagoon, Esti Marine, Esti Onyx, Falcon Sand, Falcon Spa, Falcon White, Flagship Stone, Harris Stone, Hayden Taupe, Juniper Mesa Indigo, Kindle Indigo, Kindle Silk, Kismet Moss, Lacework Stone, Ledger Heron, Ledger Indigo, Liberty Charcoal, Metz Dove, Mojave Twill Elk, Mojave Twill Turquoise, Muscle Beach Grey, Muscle Beach Tweed, Namibia Grey, Optimist Clay, Painterly View, Pashmina Flannel, Piazza Burlap, Piazza Cloud, Piazza Dove, Piazza Indigo, Piazza Mist, Piazza Vapor, Pique Ash, Pique Gravel, Pique Midnight, Posh Ash, Posh Graphite, Posh Oat, Posh Pebble, Posh Sapphire, Posh Shitake, Posh Snow, Precise Fawn, Precise Spring, Pyrenees White, Recess Smoke, Sahara Café, Sahara Denim, Santara Mist, Sterling Alpaca, Stitches Slate, Surpass Stone, Switch Ash, Switch Flax, Switch Silver, Tailored Smoke, Tailored Spa, Trax Burgundy, Trax Sequoia, Vacation Aqua, Vacation Blue, Vacation Mist, Veena Spa, Vista Dune, Vista Indigo, Zara Cinnamon, Zenith Sand"
5200.0,37198-CH,Marin Sling Chaise Lounge Chair,Marin,Deep Seating,Chaise,,,"The O.W. Lee Marin Sling Adjustable Chaise invites ultimate seaside relaxation. Its breathable sling seat and corrosion-resistant aluminum frame provide adjustable comfort, perfect for sunbathing, lounging, or enjoying waterfront outdoor spaces with modern coastal style. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",True,True,True,Aluminum,Sling,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Augustine Alloy, Augustine Ashe, Augustine Denim, Augustine Fennel, Augustine Gravel, Augustine Oasis, Augustine Pewter, Augustine Shadow, Augustine Silver, Burdock Smoke, Collect Indigo, Logan Graphite, Pueblo Dune, Sailing Salt, Sailing Seagull, Site Linen"
2044.0,428-CH,Monterra Adjustable Chaise,Monterra,Deep Seating,Chaise,,"H 45.5"" × W 42.5"" × D 87""","The O.W. Lee Monterra Adjustable Chaise combines timeless Mediterranean influence with customizable comfort. Featuring a robust wrought iron frame and adjustable reclining positions, this outdoor chaise lounge offers a relaxing retreat with classic, rustic style. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",True,True,True,Wrought Iron,,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Abra Denim, Alvarez Indigo, Beckon Hemp, Beckon Shell, Belgian Linen Sand, Big Idea Indigo, Big Idea Steel, Capra Shadow, Chartres Cloud, Chartres Graphite, Chartres Truffle, Chinchilla Aluminum, Chinchilla White, Crete Stone, Envision Teak, Escher Greige, Esti Lagoon, Esti Marine, Esti Onyx, Falcon Sand, Falcon Spa, Falcon White, Flagship Stone, Harris Stone, Hayden Taupe, Juniper Mesa Indigo, Kindle Indigo, Kindle Silk, Kismet Moss, Lacework Stone, Ledger Heron, Ledger Indigo, Liberty Charcoal, Metz Dove, Mojave Twill Elk, Mojave Twill Turquoise, Muscle Beach Grey, Muscle Beach Tweed, Namibia Grey, Optimist Clay, Painterly View, Pashmina Flannel, Piazza Burlap, Piazza Cloud, Piazza Dove, Piazza Indigo, Piazza Mist, Piazza Vapor, Pique Ash, Pique Gravel, Pique Midnight, Posh Ash, Posh Graphite, Posh Oat, Posh Pebble, Posh Sapphire, Posh Shitake, Posh Snow, Precise Fawn, Precise Spring, Pyrenees White, Recess Smoke, Sahara Café, Sahara Denim, Santara Mist, Sterling Alpaca, Stitches Slate, Surpass Stone, Switch Ash, Switch Flax, Switch Silver, Tailored Smoke, Tailored Spa, Trax Burgundy, Trax Sequoia, Vacation Aqua, Vacation Blue, Vacation Mist, Veena Spa, Vista Dune, Vista Indigo, Zara Cinnamon, Zenith Sand"
5169.0,-699.0,San Cristobal Chaise Lounge,San Cristobal,Deep Seating,Chaise,,,"The O.W. Lee San Cristóbal Chaise offers elegant relaxation inspired by historic Spanish design. Flowing contours and refined detailing make this outdoor chaise lounge a graceful addition to patios, poolsides, and garden retreats. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",True,True,True,"Aluminum, Wrought Iron",,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Abra Denim, Alvarez Indigo, Beckon Hemp, Beckon Shell, Belgian Linen Sand, Big Idea Indigo, Big Idea Steel, Capra Shadow, Chartres Cloud, Chartres Graphite, Chartres Truffle, Chinchilla Aluminum, Chinchilla White, Crete Stone, Envision Teak, Escher Greige, Esti Lagoon, Esti Marine, Esti Onyx, Falcon Sand, Falcon Spa, Falcon White, Flagship Stone, Harris Stone, Hayden Taupe, Juniper Mesa Indigo, Kindle Indigo, Kindle Silk, Kismet Moss, Lacework Stone, Ledger Heron, Ledger Indigo, Liberty Charcoal, Metz Dove, Mojave Twill Elk, Mojave Twill Turquoise, Muscle Beach Grey, Muscle Beach Tweed, Namibia Grey, Optimist Clay, Painterly View, Pashmina Flannel, Piazza Burlap, Piazza Cloud, Piazza Dove, Piazza Indigo, Piazza Mist, Piazza Vapor, Pique Ash, Pique Gravel, Pique Midnight, Posh Ash, Posh Graphite, Posh Oat, Posh Pebble, Posh Sapphire, Posh Shitake, Posh Snow, Precise Fawn, Precise Spring, Pyrenees White, Recess Smoke, Sahara Café, Sahara Denim, Santara Mist, Sterling Alpaca, Stitches Slate, Surpass Stone, Switch Ash, Switch Flax, Switch Silver, Tailored Smoke, Tailored Spa, Trax Burgundy, Trax Sequoia, Vacation Aqua, Vacation Blue, Vacation Mist, Veena Spa, Vista Dune, Vista Indigo, Zara Cinnamon, Zenith Sand"
5220.0,77198-CH,Studio Sling Chaise Lounge,Studio,Deep Seating,Chaise,,,"The O.W. Lee Studio Sling Chaise Lounge is designed for relaxed outdoor lounging with a contemporary edge. Featuring a sleek aluminum frame and supportive sling fabric, this outdoor sling chaise lounge provides comfort, durability, and effortless modern style. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",True,True,True,Aluminum,Sling,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,"Augustine Alloy, Augustine Ashe, Augustine Denim, Augustine Fennel, Augustine Gravel, Augustine Oasis, Augustine Pewter, Augustine Shadow, Augustine Silver, Burdock Smoke, Collect Indigo, Logan Graphite, Pueblo Dune, Sailing Salt, Sailing Seagull, Site Linen"
5491.0,E-TOPS,City Series Porcelain Tops,City Series Porcelain Tops,Tables,Table Tops,,,,True,False,True,Aluminum,,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,
5492.0,D-TOPS,Dakota Porcelain Tops,Dakota Porcelain Tops,Tables,Table Tops,,,,True,False,True,Aluminum,,,"Carbon Black, Copper Creek, Espresso, Graphite, Rosewood, Sable, Sand Dollar, Sandalwood, Shadow Grey, Velvet White",,
