Product Category,Product Name,SKU,Features,Size,Weight (lbs),Cube,Case Pack,Notes
OUTDOOR RUG - PLATINUM,Paradise Cove - Spa,RP-004-470-80,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,7'10" x 10',19,1.13,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - PLATINUM,Paradise Cove - Spa,RP-004-470-35,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,5'3" x 7'4",9,0.53,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - PLATINUM,Desert Sunset - Orange,RP-001-910-80,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,7'10" x 10',19,1.13,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - PLATINUM,Desert Sunset - Orange,RP-001-910-35,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,5'3" x 7'4",9,0.53,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - PLATINUM,Illusion - Black Mirage,RP-505-360-80,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,7'10" x 10',21,1.13,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - PLATINUM,Illusion - Black Mirage,RP-505-360-35,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,5'3" x 7'4",10,0.53,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - PLATINUM,Trellis - Stone Gray,RP-008-350-80,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,7'10" x 10',21,1.13,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - PLATINUM,Trellis - Stone Gray,RP-008-350-35,100% recycled polyester UV-protected outdoor rug. 1-year fade warranty. Made in Turkey. Easy to clean with mild soap.,5'3" x 7'4",10,0.53,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Reflections - Ocean Blue,RG-334-369-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Reflections - Ocean Blue,RG-334-369-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
