collection,name,sku,material,description,specifications,datasheet_url,product_url
Classico,Classico Lounge Chair,956-CCW,Wrought Iron,"If you’re looking for a classic outdoor lounge chair that feels just as good as it looks, the O.W. Lee Classico Lounge Chair delivers. It brings the collection’s signature traditional style into a relaxed, lounge-ready design, complete with decorative metalwork and plush cushions that invite you to sit back and stay awhile. It’s the kind of chair that instantly makes an outdoor space feel warm, comfortable, and refined. Like everything O.W. Lee makes, the Classico Lounge Chair is built to last. The wrought iron frame is backed by a 20-year structural warranty, while the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, so you can enjoy both comfort and peace of mind season after season. Customization is where this chair really shines. Choose from 10 elegant frame finishes and over 100 fabric options to create a look that fits your space and your style perfectly. Whether you’re furnishing a cozy patio or a full outdoor living area, the Classico Lounge Chair offers timeless design, exceptional comfort, and craftsmanship you can trust.",Weight: 46 lbs,https://www.owlee.com/wp-content/uploads/2026/02/Classico_Retail_SpecSheets_2026-upd_Part9.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-lounge-chair
Classico,Classico Swivel Rocker Lounge Chair,956-SRW,Wrought Iron,"The O.W. Lee Classico Swivel Rocker Lounge Chair blends graceful design with gentle movement. Featuring smooth swivel and rocking motion, this outdoor lounge chair offers relaxed comfort wrapped in traditional sophistication. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 57 lbs,https://www.owlee.com/wp-content/uploads/2026/02/Classico_Retail_SpecSheets_2026-upd_Part11.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-swivel-rocker-lounge-chair
Classico,Classico Spring Base Lounge Chair,956-SBT,Wrought Iron,"If you love the look of classic outdoor furniture but want a little extra comfort, the O.W. Lee Classico Spring Base Lounge Chair is a perfect fit. It takes the timeless elegance of the Classico collection and adds gentle motion, thanks to a spring-supported base that responds as you sit and relax. The result is a lounge chair that feels supportive, comfortable, and effortlessly inviting. Ornate metal details highlight the collection’s European-inspired craftsmanship, giving the chair a refined, old-world appeal. As with all O.W. Lee furniture, this chair is built for long-term outdoor living. The wrought iron frame is protected by a 20-year structural warranty, and the finish is backed for 5 years against fading, blistering, and peeling. Cushions and fabrics also carry a 5-year warranty, so you can enjoy comfort and durability with confidence. Personalizing your chair is easy. Choose from 10 elegant frame finishes and over 100 fabric options to create a look that feels uniquely yours. Whether you’re designing a quiet retreat or a sophisticated outdoor lounge, the Classico Spring Base Lounge Chair delivers classic style, subtle motion, and lasting comfort.",Weight: 58 lbs,https://www.owlee.com/wp-content/uploads/2026/02/Classico_Retail_SpecSheets_2026-upd_Part10.pdf,https://www.owlee.com/collections/wrought-iron-steel/spring-base-lounge-chair
Classico,Classico High-Back Spring Base Lounge Chair,937-SBW,Wrought Iron,"If you want maximum comfort with a more commanding, classic look, the O.W. Lee Classico High Back Spring Base Lounge Chair delivers on all fronts. Its taller back provides extra support for relaxed lounging, while the spring base adds gentle motion that responds naturally as you sit. Together, they create a chair that feels as good as it looks--supportive, comfortable, and inviting. True to the Classico collection, this chair features a stately, Old World silhouette with refined detailing that brings a sense of timeless European elegance to any outdoor space. It’s an ideal choice for those who appreciate traditional design but don’t want to compromise on comfort. Built with O.W. Lee’s legendary craftsmanship, the frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, ensuring long-lasting performance outdoors. To make it your own, choose from 10 elegant frame finishes and over 100 fabric options. Whether it’s part of a full seating arrangement or a standout lounge piece, the Classico High Back Spring Base Lounge Chair offers elevated comfort, subtle motion, and enduring style.",Weight: 60 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_937-SBW-Hi-Back-Spring-Base-Lounge-Chair.pdf,https://www.owlee.com/collections/wrought-iron-steel/high-back-spring-base-lounge-chair
Classico,Classico High-Back Swivel Rocker Lounge Chair,937-SRW,Wrought Iron,"If comfort is your top priority but you still want timeless style, the O.W. Lee Classico High Back Swivel Rocker Lounge Chair checks every box. The tall, supportive back is perfect for leaning in and relaxing, while the smooth swivel and gentle rocking motion let you move naturally and stay comfortable for longer stretches outdoors. It’s an ideal chair for conversations, quiet moments, and everything in between. Design-wise, this chair stays true to the Classico collection’s classic European influence. Refined detailing and an elegant silhouette give it a polished, Old World look that elevates any patio or outdoor living space. As with all O.W. Lee furniture, quality and durability come standard. The wrought iron frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, so you can relax knowing your chair is built to last. Personalizing your look is easy with 10 elegant frame finishes and over 100 fabric options. Whether it stands alone or completes a full seating group, the Classico High Back Swivel Rocker Lounge Chair offers exceptional comfort, graceful motion, and enduring craftsmanship.",Weight: 58 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026-upd_Part13.pdf,https://www.owlee.com/collections/wrought-iron-steel/high-back-swivel-rocker-lounge-chair
Classico,Classico Love Seat,956-2SW,Wrought Iron,"The O.W. Lee Classico Love Seat offers intimate seating defined by elegant proportions and ornate detailing. Plush cushions and traditional styling make this outdoor love seat a refined addition to patios and courtyards. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 77 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_956-2SW-Love-Seat.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-love-seat
Classico,Classico Sofa,956-3SW,Wrought Iron,"If you’re looking to anchor your outdoor space with something truly timeless, the O.W. Lee Classico Sofa makes a beautiful statement. Designed as a sophisticated focal point, this outdoor sofa features a classic silhouette, elegant decorative accents, and generous seating that invites everyone to gather. Its European-inspired design brings a sense of tradition and refinement to patios, terraces, and outdoor living rooms alike. Crafted with O.W. Lee’s renowned attention to quality, the Classico Sofa is built to stand up to the elements while maintaining its beauty. The wrought iron frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Plush cushions and performance fabrics are also covered for 5 years, giving you confidence that your investment will look and feel great for years to come. Customization is simple and seamless. With 10 elegant frame finishes and over 100 fabric options, you can tailor the Classico Sofa to perfectly complement your outdoor décor. Whether you’re creating an intimate seating area or a grand outdoor gathering space, this sofa delivers classic style, lasting comfort, and craftsmanship you can trust.",Weight: 104 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_956-3SW-Sofa.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-sofa
Classico,Classico Ottoman,950-OW,Wrought Iron,"The O.W. Lee Classico Ottoman complements the collection’s seating with functional elegance. Featuring classic detailing and a tailored cushion, this outdoor ottoman works as a footrest or additional seating. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 26 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_950-OW-Ottoman.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-ottoman
Classico,Adjustable Chaise,952-CHW,Wrought Iron,"The O.W. Lee Classico Chaise Lounge brings traditional European style to poolside and patio relaxation. Its elegant frame and comfortable reclining design create a timeless outdoor chaise lounge ideal for leisurely outdoor living. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 72 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_952-CHW-Chaise.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-adjustable-chaise
Classico,Classico Collection Armless Swivel Counter Stool,951-SCS,Wrought Iron,"The O.W. Lee Classico Armless Swivel Counter Stool offers elevated seating with a streamlined, traditional profile. Ornate metal detailing and smooth swivel motion make this outdoor counter-height stool both functional and visually timeless. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 40 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_951-SCS-Swivel-Counter-Armless.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-armless-swivel-counter-stool
