id,sku,name,collection,short_description,description
3298,NC2010-DT-87,Anderson Extension Dining Table,Anderson,This teak extension dining table is the perfect size to seat up to 10 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.,"This teak extension dining table is the perfect size to seat up to 10 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.

<p>This teak extension dining table is the perfect size to seat up to 10 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Seating Capacity When Fully Extended: 8</li>
  <li>Seating Capacity When Fully Collapsed: 10</li>
  <li>Table Mechanism: Drop Leaf</li>
  
  
  
  
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>"
3213,NC2753S,Bainbridge Sofa,Bainbridge,"The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural","The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural

<p>The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Cush270/271</li>
  
  
  
</ul>"
3216,NC275C,Bainbridge Club Chair,Bainbridge,"Blending both style and comfort, the Bainbridge Wicker Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","Blending both style and comfort, the Bainbridge Wicker Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!

<p>Blending both style and comfort, the Bainbridge Wicker Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
</ul>"
3317,NC275CET,Bainbridge Corner End Table,Bainbridge,"The Bainbridge Wicker Corner End Table and Glass is the perfect addition to your Bainbridge patio set as sectional corner. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","The Bainbridge Wicker Corner End Table and Glass is the perfect addition to your Bainbridge patio set as sectional corner. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>The Bainbridge Wicker Corner End Table and Glass is the perfect addition to your Bainbridge patio set as sectional corner. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Glass Top Included</li>
</ul>"
3318,NC275CT-REC,Bainbridge Rectangular Coffee Table,Bainbridge,"Wicker Rectangular Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","Wicker Rectangular Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>Wicker Rectangular Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Cleans with soap and water</li>
  <li>Glass Top Included</li>
</ul>"
5546,NC275CT-REC-GL,Bainbridge Rectangular Coffee Table Glass Top,Bainbridge,,
3319,NC275CT-SQ,Bainbridge Square Coffee Table,Bainbridge,"Wicker Square Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","Wicker Square Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>Wicker Square Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Cleans with soap and water</li>
  <li>Glass Top included</li>
</ul>"
5545,NC275CT-SQ-GL,Bainbridge Square Coffee Table Glass Top,Bainbridge,,
3320,NC275ET-SQ,Bainbridge Square End Table,Bainbridge,"Wicker Square End Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","Wicker Square End Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>Wicker Square End Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Cleans with soap and water</li>
  <li>Glass Top included</li>
</ul>"
5544,NC275ET-SQ-GL,Bainbridge End Table Glass Top,Bainbridge,,
3217,NC275LL,Bainbridge Sectional Left Arm Loveseat,Bainbridge,"The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast","The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast

<p>The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  
  
  
</ul>"
3218,NC275LS,Bainbridge Loveseat,Bainbridge,"The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural","The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural

<p>The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Cush270/271</li>
  
  
  
</ul>"
3350,NC275O-REC,Bainbridge Rectangular Ottoman,Bainbridge,"The Bainbridge Wicker Rectangular Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.","The Bainbridge Wicker Rectangular Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.

<p>The Bainbridge Wicker Rectangular Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>4″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  
  
  
</ul>"
3351,NC275O-SQ,Bainbridge Square Ottoman,Bainbridge,"The Bainbridge Wicker Square Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.","The Bainbridge Wicker Square Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.

<p>The Bainbridge Wicker Square Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  
  
  
</ul>"
3219,NC275RL,Bainbridge Sectional Right Arm Loveseat,Bainbridge,"The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast","The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast

<p>The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  
  
  
</ul>"
3215,NC275SCC,Bainbridge Sectional Corner Chair,Bainbridge,"This modular wicker is UV-protected, and features subtly muddled tones for varied, natural look. Can be used as a standalone or complimentary piece to other products in the Bainbridge patio furniture family. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","This modular wicker is UV-protected, and features subtly muddled tones for varied, natural look. Can be used as a standalone or complimentary piece to other products in the Bainbridge patio furniture family. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!

<p>This modular wicker is UV-protected, and features subtly muddled tones for varied, natural look. Can be used as a standalone or complimentary piece to other products in the Bainbridge patio furniture family. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  
  
  
</ul>"
3214,NC275SCC-45,Bainbridge Sectional 45 Degree Corner,Bainbridge,"The Bainbridge Wicker 45 Degree Corner Chair lets you expand your Bainbridge Sectional with a roomier seat than traditional sectional corners. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. Includes Sunbrella fabric cushions.","The Bainbridge Wicker 45 Degree Corner Chair lets you expand your Bainbridge Sectional with a roomier seat than traditional sectional corners. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. Includes Sunbrella fabric cushions.

<p>The Bainbridge Wicker 45 Degree Corner Chair lets you expand your Bainbridge Sectional with a roomier seat than traditional sectional corners. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. Includes Sunbrella fabric cushions.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  
  
  
</ul>"
3220,NC275SCM,Bainbridge Sectional Middle Chair,Bainbridge,"Blending both style and comfort, the Bainbridge Wicker Sectional Middle Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","Blending both style and comfort, the Bainbridge Wicker Sectional Middle Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!

<p>Blending both style and comfort, the Bainbridge Wicker Sectional Middle Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
</ul>"
