manufacturer_name,founded_year,location,tagline,about_paragraph,pills,stat1_label,stat1_value,stat2_label,stat2_value,stat3_label,stat3_value
Frankford Umbrellas,1898,"Mt. Laurel, New Jersey","Premium commercial shade — ending the compromise between durability, affordability, and luxury","Founded in 1898 by Samuel and Benjamin Frankford, this family-run business started as door-to-door rain umbrella repairmen and grew into one of America's leading commercial shade manufacturers. Now 125+ years in, they remain guided by the same principles of honest craft, real follow-through, and no shortcuts on quality.","Founded 1898,Family-owned,Commercial grade,Sustainable practices,Umbrellas & cabanas",Years in Business,125+,Location,"Mt. Laurel, NJ",,
Galtech International,1990s,"Camarillo, California","Premium market umbrellas and shade products for dealers and consumers worldwide","For over 30 years, Galtech's team of specialists has focused on making umbrella purchasing a great experience. Their shade products use the finest materials available — including stainless steel cables, patented auto-tilt mechanisms, six-layer marine-grade varnish on wood frames, and a top-tier Sunbrella fabric selection.","30+ years in business,Camarillo CA,Aluminum & wood frames,Sunbrella fabrics,Patented auto-tilt,Commercial grade",Years in Business,30+,Location,"Camarillo, CA",,
Couture Jardin,2010,"Fort Lauderdale, Florida","Contemporary outdoor furniture with authentic design at a fair price","Founded in 2010 by Canadian designer-entrepreneur Normand Couture and his son Philippe, Couture Jardin is a family-owned brand built on a passion for contemporary outdoor design. Headquartered in Fort Lauderdale with showrooms and warehouses across North America and Asia, they serve residential, commercial, and hospitality markets worldwide.","Founded 2010,Family-owned,Fort Lauderdale FL,Contemporary design,Residential & commercial,Hospitality",Founded,2010,Global Showrooms,North America & Asia,,
Hanamint,1993,"Greensboro, North Carolina","The perfect choice for outdoor living decor — bringing style to the outdoors, one yard at a time","Founded in 1993, Hanamint manufactures and distributes cast aluminum casual furniture and accessories, growing to become a leader in their market segment. They operate a 1.2 million sq. ft. manufacturing facility in Jiaxing, China along with two US distribution centers. Every piece includes a polyester powder-coat finish, stainless steel hardware, and nylon glides, with in-house design staff continually developing new styles and patented innovations.","Founded 1993,Cast aluminum,Powder-coat finish,Stainless steel hardware,US distribution centers,Design patents",Founded,1993,Manufacturing Facility,"1.2M sq. ft.",US Distribution Centers,2
Homecrest Outdoor Living,1953,"Wadena, Minnesota","A rich history of quality and classic design meets affordable luxury and versatile outdoor living","Founded in 1953 in Wadena, Minnesota, Homecrest started as a retail furniture shop before expanding into manufacturing. They hold a notable industry first — the original swivel rocker mechanism, patented in 1956 — and were also the first outdoor furniture manufacturer to use Sunbrella fabrics. Still made in Wadena, MN today, they offer 30 collections spanning seating, tables, fire tables, and accessories.","Founded 1953,Made in USA,Wadena MN,First Sunbrella adopter,30+ collections,Aluminum & steel frames,Fire tables",Founded,1953,Collections,30+,Location,"Wadena, MN"
NorthCape International,1998,,"The perfect balance of classic designs and current trends at an exceptional value","Since 1998, NorthCape has focused on delivering high-quality, stylish, and comfortable outdoor furniture at an affordable price — blending timeless design with current trends without sacrificing value.","Founded 1998,Classic & contemporary styles,Affordable luxury,Outdoor furniture",Founded,1998,,,, 
O.W. Lee,1947,"Comfort, Texas","Heirloom-quality outdoor furniture and fire pits handcrafted in America since 1947","Founded in 1947 by Oddist W. Lee as a wrought-iron gate maker for Southern California estates, O.W. Lee has grown into one of America's premier outdoor furniture manufacturers across four generations of family leadership. All production happens at their 450000 sq. ft. facility in Comfort, Texas, where artisans combine hand-forging and hammer-and-anvil techniques with robotic welding and CNC precision. Every frame goes through a five-step powder-coat process and all fire pits are ANSI and CSA certified.","Founded 1947,Family-owned 4 generations,Made in USA,Comfort TX,Wrought iron & aluminum,ANSI certified fire pits,5-step powder coat,ICFA Manufacturer of the Year",Founded,1947,Manufacturing Facility,"450,000 sq. ft.",ICFA Manufacturer of the Year,"2010, 2012–2017, 2020"
Shoreline Craftworks,1979,"San Clemente, California","West Coast-crafted Marine Grade Polymer furniture with 45 years of family patio expertise","Shoreline Craftworks is a family business with roots going back to 1979, when they started as Palm Casual in Orlando, Florida, manufacturing and supplying patio furniture to hundreds of retailers nationwide. Today Shoreline is the only manufacturer of Marine Grade Polymer furniture on the West Coast, with their San Clemente location helping reduce freight costs and lead times for West Coast customers.","Family-owned,Founded 1979,San Clemente CA,Marine Grade Polymer,West Coast manufacturer,45+ years experience",Years in Business,45+,Location,"San Clemente, CA",,
Summerset Casual,2005,"March Air Reserve Base, California","Premier provider of quality outdoor furniture with superior service and competitive pricing","Founded in the United States with a focus on quality outdoor products, Summerset Casual expanded into specialty retail distribution in 2005 and grew rapidly by developing international manufacturing facilities alongside US and Canada warehouse centers. They back their products with a 10-year warranty on most patio furniture and accessories, building everything with high-quality aluminum, superior-grade wicker, and weather-resistant fabrics with hand-finished detailing.","US & Canada warehousing,10-year warranty,Aluminum & wicker,Hand-finished,Weather-resistant fabrics,Specialty retail",Warranty,10 years,Distribution,US & Canada,,
Sunset West,,,"Handcrafted outdoor furniture built with passion, premium materials, and impeccable attention to detail","Sunset West is Hooker Furnishings' outdoor living brand, bringing a century-old commitment to craft and quality to outdoor spaces. Each piece is constructed by master weavers and skilled sewers using only premium materials, with careful hand-finishing at every step to ensure lasting beauty and durability outdoors. Backed by Hooker Furnishings — one of America's leading publicly traded furniture companies, founded in 1924.","Hooker Furnishings brand,Master weavers,Hand-finished,Premium materials,Deep seating & dining,Indoor-outdoor style",Hooker Furnishings Est.,1924,,,, 
