id,sku,name,slug,category_id,description,short_description
5616,639SS,Shade Star Beach Umbrella,639ss,38,"Beach umbrella with 1.38"" diameter ash wood two-piece pole with pointed bottom pole. Zinc plated steel ribs and stainless steel hardware. Olefin fabric. Carry bag included. Manual lift. Custom lead times apply.",6.5' hex beach umbrella with pointed ash wood pole.
2301,844FA-01,The Catalina,the-catalina,38,"It's a classic for a reason. Built with a durable fiberglass frame designed to move intelligently in the wind, the Catalina offers dependable strength wrapped in clean, classic lines. Offered in multiple frame builds with premium powder-coated finishes and fabric options, it delivers resilient performance wrapped in timeless design.

Operation: Commercial-grade crank handle and axle. Manual lift and EZ-up spring. Commercial push-button 60° tilt.
Ribs: 8mm flexible fiberglass ribs and struts
Pole & Hardware: 1.5"" diameter aluminum center pole (1/8"" wall thickness). Optional bar-height lower pole adds 10"" of additional clearance. Stainless steel hardware throughout
Canopy Features: 4-layer fabric protection and closed-stitching pocket",Fiberglass patio umbrella
5555,844FWB-01,The Avalon,the-avalon,38,"Modern fiberglass beach umbrella. Manual lift. 8mm flexible fiberglass ribs and struts. 1.375"" diameter solid ash wood center pole (pointed bottom for sand) with stainless steel hardware throughout. 4-layer fabric protection and closed-stitching pocket. Note: overall height is the full length of the umbrella and varies depending on how far the pole is placed in the sand.",Fiberglass Beach Umbrella
2302,845A,The Laurel,the-laurel,38,"Designed in a timeless silhouette, the Laurel combines a reinforced steel structure with time-tested mechanics to create a traditional patio umbrella built for long-term durability and stunning beauty. Available in several frame builds with tilt and lift options, it is dependable shade designed to endure season after season. Did you ever think you'd fall in love with an umbrella?

Operation: Manual lift, manual lift with push-button 60° tilt, or crank lift with push-button 60° tilt options available.
Ribs: 5mm steel ribs and struts
Pole & Hardware: 1.3mm thick aluminum center pole (manual lift options); 1.6mm thick aluminum center pole (crank lift option). Stainless steel hardware throughout
Canopy Features: Non-twisting end tips",Steel patio umbrella
2293,845CAM,The Greenwich,the-greenwich,38,"The Greenwich aluminum market umbrella is elegant, refined and sure to satisfy your need for shade in any upscale commercial or residential setting. Available in 5 sizes, there are options for any space and shade need. The easy glide pulley system allows for easy opening and closing. Its sturdy aluminum frame, polished silver finish, and solid marine chrome plated aluminum finial add the perfect touch to give your cherished outdoor space the enhanced appearance found at luxury resorts, hotels, and restaurants.

Features: Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system • Ergonomically designed ribs provide added strength • 1.5"" dia. x 1/8"" thick aluminum center pole • Bar height lower poles available (Adds 10"" to overall clearances and heights) • Stainless steel hardware throughout • Stainless steel canopy grommet attachment • Engineered to withstand sustained 30 mph winds",Aluminum market umbrella
2294,845FM,The Monterey Pulley Lift,the-monterey-pulley-lift,38,"Our easy-glide pulley system is supported by a high strength kernmantle poly-nylon woven rope which allows you to effortlessly open and close the umbrella. All of our pulley lift umbrellas are designed with a hook pin to keep the pulley cord out of reach and out of sight.

Features: Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system • 1/2"" fiberglass ribs and struts for maximum strength and flexibility • 1.5"" diameter x 1/8"" thick center pole provides strength and durability • Bar height lower poles available (Adds 10"" to overall clearances and heights) • Stainless steel hardware throughout • 4-layer fabric protection and closed-stitching pocket • Engineered to withstand sustained 40 mph winds",Fiberglass market umbrella
2296,845FMA,The Monterey Crank Lift Auto-Tilting,the-monterey-crank-lift-auto-tilting,38,"The Monterey Crank Auto Tilt is an industry favorite with a 30° tilt, this umbrella guarantees shade at any time of the day. Made of zinc alloy providing exceptional strength, the auto tilt is capable of handling larger canopies and higher winds.

Features: 316L Stainless steel crank handle and axle • Chrome plated zinc alloy auto tilt, 30 degree maximum tilt lockout • 1/2"" fiberglass ribs and struts for maximum strength and flexibility • 1.5"" diameter x 1/8"" thick center pole provides strength and durability • 550 Nylon Paracord • Bar height lower poles available (Adds 10"" to overall clearances and heights) • Stainless steel hardware throughout • 4-layer fabric protection and closed-stitching pocket • Engineered to withstand sustained 40 mph winds (876FMA-R: 25 mph)",Fiberglass market umbrella
2295,845FMC,The Monterey Crank Lift Non-Tilting,the-monterey-crank-lift-non-tilting,38,"Designed with a stainless steel handle, durable parachute cord, and Frankford's exclusive commercial-grade crank system, this umbrella is truly unique. The Monterey is designed to last and will give your outdoor space a refined, elegant look for years to come.

Features: 316L Stainless steel crank handle and axle • 1/2"" fiberglass ribs and struts for maximum strength and flexibility • 1.5"" diameter x 1/8"" thick center pole provides strength and durability • 550 Nylon Paracord • Bar height lower poles available (Adds 10"" to overall clearances and heights) • Stainless steel hardware throughout • 4-layer fabric protection and closed-stitching pocket",Fiberglass market umbrella
5556,845W,The Emerald Coast,the-emerald-coast,38,"Classic steel-frame beach umbrella. Manual lift. 5mm steel ribs. 1.375"" diameter solid ash wood center pole (pointed bottom for sand) with stainless steel hardware throughout. Non-twisting end tips. Marine-grade acrylic canopy. Steel bell cap.",Steel frame beach umbrella
2299,868ARU,The Aurora Aluminum,the-aurora,38,"Maximize your space without a traditional center post. The Aurora is manufactured using industry best materials and fabric available to provide many years of trouble-free use and enjoyment. Its Infinity Tilt allows you to change positions effortlessly. This modern cantilever is suitable for use in low to moderate wind conditions and ensures hours of protection from the sun and light rain.

Features: 360 degree mast rotation (16 locking positions every 22.5 degrees) • Canopy Infinity Tilt provides countless hours of maximum shade • Automatic tilt locking for safety • Smooth commercially rated crank lift operation • Extruded aluminum mast and ribs • Stainless steel hardware throughout • Black Polyester Protective Cover Bag included • Engineered to withstand sustained 25 mph winds • Included Wind Stabilization Kit adds 5 mph",Fiberglass or aluminum cantilever umbrella
