sku,collection,style,name,description
171311,Corsica,CUSHION,LOUNGE CHAIR,"The Corsica Cushion Lounge Chair utilizes RELAXplus® technology to provide the comfort of indoor furniture and durability to meet the demands of the outdoors. The high-back design delivers sink-in comfort while providing head support. With lightweight aluminum frames powder-coated in any Tropitone® Standard or Premium Finish and comfortable cushions wrapped in your choice of fabric, Corsica Cushion Lounge Chair provides a relaxing, durable seating solution."
171325NT,Corsica,CUSHION,SWIVEL ACTION LOUNGER,"The Corsica Cushion Swivel Action Lounger utilizes RELAXplus® technology to provide the comfort of indoor furniture and durability to meet the demands of the outdoors. The high-back design delivers sink-in comfort while providing head support. With lightweight aluminum frames powder-coated in any Tropitone® Standard or Premium Finish and comfortable cushions wrapped in your choice of fabric, Corsica Cushion Swivel Action Lounger provides a relaxing, durable seating solution."
171317,Corsica,CUSHION,OTTOMAN,"The Corsica Cushion Ottoman utilizes RELAXplus® technology to provide the comfort of indoor furniture and durability to meet the demands of the outdoors. With lightweight aluminum frames powder-coated in any of Tropitone® Standard or Premium Finish and comfortable cushions wrapped in your choice of fabric, Corsica Cushion Ottoman provides a relaxing, durable seating solution."
171314,Corsica,CUSHION,LOVE SEAT,"The Corsica Cushion Love Seat utilizes RELAXplus® technology to provide the comfort of indoor furniture and durability to meet the demands of the outdoors. The high-back design delivers sink-in comfort while providing head support. With lightweight aluminum frames powder-coated in any of Tropitone® Standard or Premium Finish and comfortable cushions wrapped in your choice of fabric, Corsica Cushion Love Seat provides a relaxing, durable seating solution."
171321,Corsica,CUSHION,SOFA,"The Corsica Cushion Sofa utilizes RELAXplus® technology to provide the comfort of indoor furniture and durability to meet the demands of the outdoors. The high-back design delivers sink-in comfort while providing head support. With lightweight aluminum frames powder-coated in any of Tropitone® Standard or Premium Finish and comfortable cushions wrapped in your choice of fabric, Corsica Cushion Sofa provides a relaxing, durable seating solution."
171310CL,Corsica,CUSHION,CRESCENT LOVE SEAT,"The Corsica Cushion Crescent Love Seat utilizes RELAXplus® technology to provide the comfort of indoor furniture and durability to meet the demands of the outdoors. The high-back design delivers sink-in comfort while providing head support. With lightweight aluminum frames powder-coated in any of Tropitone® Standard or Premium Finish and comfortable cushions wrapped in your choice of fabric, Corsica Cushion Crescent Love Seat provides a relaxing, durable seating solution."
171310CS,Corsica,CUSHION,CRESCENT SOFA,"The Corsica Cushion Crescent Sofa utilizes RELAXplus® technology to provide the comfort of indoor furniture and durability to meet the demands of the outdoors. The high-back design delivers sink-in comfort while providing head support. With lightweight aluminum frames powder-coated in any of Tropitone® Standard or Premium Finish and comfortable cushions wrapped in your choice of fabric, Corsica Cushion Crescent Sofa provides a relaxing, durable seating solution."
660908C50,Corsica,CUSHION,CRESCENT OTTOMAN BENCH,"Perhaps the most versatile piece in the Tropitone® Corsica Cushion Collection, the Corsica Cushion Crescent Ottoman Bench can be used as a footrest, extra seating, and setting for trays of appetizers. The Corsica Cushion Crescent Ottoman Bench utilizes RELAXplus® cushion technology for optimal comfort. Pair this outdoor ottoman with Corsica Crescent Outdoor Furniture to create a complete gathering place for friends and family."
161537WS,Corsica,WOVEN,DINING CHAIR,"The Corsica Woven Dining Chair is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design and woven bucket delivers sink-in comfort while providing head support. Featuring the beautiful Bison Weave, the Corsica Woven Dining Chair creates a simple and refined culinary setting."
161501WS,Corsica,WOVEN,HIGH BACK DINING CHAIR,"The Corsica Woven High Back Dining Chair is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design and woven bucket delivers sink-in comfort while providing head support. The woven bucket is created with back and seat pieces that meet in a mitered joint and draws one into the chair. Featuring the beautiful Bison Weave, the Corsica Woven High Back Dining Chair creates a simple and refined culinary setting."
