sku,product_name,description
AKZP13LX,13’ STARLUX AKZ PLUS,"Light strips built into (8) ribs for elegant and modern look; (2) Light settings (low/high); Color temperature: 4000-4500K; 20,000 Lifetime hours; Powder coated aluminum; 100% Kevlar mesh lift cord for added strength and durability; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 40° back tilt; Tilts left and right at: 18°, 36°, and 54° angles"
AKZPRTLX,10’x13’ STARLUX AKZ PLUS,"Light strips built into (8) ribs for elegant and modern look; (2) Light settings (low/high); Color temperature: 4000-4500K; 20,000 Lifetime hours; Powder coated aluminum; 100% Kevlar mesh lift cord for added strength and durability; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 40° back tilt; Tilts left and right at: 18°, 36°, and 54° angles"
AKZP13,13’ AKZ PLUS,"Powder coated aluminum; 100% Kevlar mesh lift cord for added strength and durability; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 40° back tilt; Tilts left and right at: 18°, 36°, and 54° angles; Built-in light adapter to ﬁt Treasure Garden lights; Includes protective cover"
AKZPRT,10’x13’ AKZ PLUS,"Powder coated aluminum; 100% Kevlar mesh lift cord for added strength and durability; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 40° back tilt; Tilts left and right at: 18°, 36°, and 54° angles; Built-in light adapter to ﬁt Treasure Garden lights; Includes protective cover"
AKZPSQ11,11.5’ AKZ PLUS,"Powder coated aluminum; 100% Kevlar mesh lift cord for added strength and durability; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 40° back tilt; Tilts left and right at: 18°, 36°, and 54° angles; Built-in light adapter to ﬁt Treasure Garden lights; Includes protective cover"
AKZP,11’ AKZ PLUS,"Powder coated aluminum; 100% Kevlar mesh lift cord for added strength and durability; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 40° back tilt; Tilts left and right at: 18°, 36°, and 54° angles; Built-in light adapter to ﬁt Treasure Garden lights; Includes protective cover"
AG25TR,11.5’ AG25T,Powder coated aluminum; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 30° back tilt; Inﬁnite left to right tilting capabilities; Built-in light adapter to ﬁt Treasure Garden lights; Includes protective cover
AG25TSQR,10’ AG25TSQ,Powder coated aluminum; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 30° back tilt; Inﬁnite left to right tilting capabilities; Built-in light adapter to ﬁt Treasure Garden lights; Includes protective cover
AG25TR10,10’ AG25T,Powder coated aluminum; Foot pedal to easily rotate umbrella 360°; Inﬁnite front to back tilt: Up to 30° back tilt; Inﬁnite left to right tilting capabilities; Built-in light adapter to ﬁt Treasure Garden lights; Includes protective cover
ET3RT,10’x13’ EASY TRACK®,Powder coated aluminum; Operates with the patented slide-knob mechanism for seamless; Canopy telescopes upward to eﬀortlessly close over tabletop; Three-tiered hub system for added strength; Residential and commercial use
ET310,10' EASY TRACK®,Powder coated aluminum; Operates with the patented slide-knob mechanism for seamless; Canopy telescopes upward to eﬀortlessly close over tabletop; Three-tiered hub system for added strength; Residential and commercial use
USA45-09,10’ SHANGHAI COLLAR TILT,24 ﬁberglass ribs; Powder coated aluminum; Easy to twist collar tilt function; Maximum tilt 30°; Textured two-piece ribbed pole; Crank lift system; Fabric wrapped ﬁnial
UM851,11’ TWIST,"Powder coated aluminum; Easy to twist collar tilt function; Maximum tilt 30°; Release clamp on housing to easily rotate umbrella 360°; Functional crank handle automatically returns to center position; Modernly designed hub, ﬁttings, crank housing, and ﬁnial; Textured two-piece ribbed pole; Crank lift system; 100% Kevlar mesh lift cord for added strength and durability; Residential and commercial use"
UM850,9’ TWIST,"Powder coated aluminum; Easy to twist collar tilt function; Maximum tilt 30°; Release clamp on housing to easily rotate umbrella 360°; Functional crank handle automatically returns to center position; Modernly designed hub, ﬁttings, crank housing, and ﬁnial; Textured two-piece ribbed pole; Crank lift system; 100% Kevlar mesh lift cord for added strength and durability; Residential and commercial use"
